id,영업상태,상세주소,약국명,위도,경도
PHMH320143000034087500011,영업/정상,서울특별시 종로구 종로 286 (창신동 동대문호텔),송일기업(주),200846.171043058,452069.005122414
PHMH320143000034087500012,영업/정상,서울특별시 종로구 돈화문로 85 1층 (와룡동),세븐일레븐종로호스텔코리아점,199074.670635062,452648.894407231
PHMH320123000034087500074,영업/정상,서울특별시 종로구 창경궁로16길 64 1층 (효제동),GS25 종로현대,200021.14373293,452501.541809272
PHMH320123000034087500076,영업/정상,서울특별시 종로구 율곡로 255 1층 (충신동),세븐일레븐 종로충신점,200505.044831169,452454.297021903
PHMH320203000034087500036,영업/정상,서울특별시 종로구 경희궁길 4 목영빌딩 1층 101호 (신문로1가),씨유 종로경희궁점,197469.959024858,452033.989111749
PHMH320123000034087500019,영업/정상,서울특별시 종로구 창경궁로 273 (혜화동),(주)코리아세븐 혜화점,199982.140328263,453723.397421668
PHMH320173000034087500042,영업/정상,서울특별시 종로구 사직로8길 4 202동 105호 (사직동 광화문풍림스페이스본),GS25 종로스페이스점,197181.393301659,452458.826651573
PHMH320173000034087500003,영업/정상,서울특별시 종로구 대학로 33 (효제동),씨유 포레스트힐점,200092.446768854,452436.011597811
PHMH320163000034087500002,영업/정상,서울특별시 종로구 새문안로 103-1 1층 (신문로1가),씨유 광화문광장점,197826.356739032,452021.760313896
PHMH320123000034087500052,영업/정상,서울특별시 종로구 종로66길 25 1층 (숭인동 삼신빌딩),GS25 숭인본점,201874.482672754,452383.938751703
PHMH320133000034087500006,영업/정상,서울특별시 종로구 북촌로 52 1층 (가회동),씨유 종로가회점,198626.68414188,453242.258661963
PHMH320123000034087500103,영업/정상,서울특별시 종로구 삼일대로 461 102호 (경운동),세븐일레븐 종로허브점,198715.780286168,452524.28971473
PHMH320123000034087500057,영업/정상,서울특별시 종로구 수표로 123-4 (낙원동),GS종로낙원점,198924.31692109,452217.171349412
PHMH320173000034087500033,영업/정상,서울특별시 종로구 이화장길 78 1층 (동숭동),지에스25 종로방통대2점,200341.079292385,452932.996817185
PHMH320123000034087500069,영업/정상,서울특별시 종로구 사직로 121 (내자동),(주)세나코퍼레이션 씨유 내자중앙점,197470.779212828,452667.381135571
